,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,price_category,review_day,review_month,review_year
5206,COZY Room❤BTS Bangna❤BITEC❤Rod Fai Market/k,Kanok,Bang Na,13.67192,100.60641,Entire home/apt,1444,2,1,1,89,True,False,False,False,Medium,12,12,2018
5209,Nice big apartment city center 3 minutes to BTS,Vina,Bang Rak,13.72386,100.52884,Entire home/apt,4000,3,33,6,299,True,False,False,False,High,10,12,2022
5210,"Spacious Room for 2-4 persons, 2min to MRT",Nui,Bang Sue,13.82887,100.52606,Entire home/apt,1457,15,63,22,120,True,False,False,False,Medium,12,12,2022
5211,Family Room #3 : 2 bed / 2 bath,Abe,Khlong Toei,13.72134,100.58035,Private room,1038,2,78,8,316,False,False,True,False,Low,20,12,2022
5212,ลีลาวดีรีโซเทล,Leelawadee,Bang Khen,13.87097,100.62396,Private room,950,1,0,1,364,False,False,True,False,Low,11,12,2022
5213,Iris Avenue(ลาดกระบัง-สุวรรณภูมิ)1.5ลบ เฟอร์ฯครบ พร้อมอยู่,Supawan,Lat Krabang,13.72062,100.71944,Private room,799,1,1,2,363,False,False,True,False,Low,6,6,2018
5214,save budget/ best location in Bangplad Bangkok,Siree,Bang Phlat,13.78691,100.49112,Entire home/apt,1732,7,0,1,180,True,False,False,False,Medium,11,12,2022
5215,3 bedroom 175m2 apartment near Emporium,Wiset,Vadhana,13.74133,100.56773,Entire home/apt,8999,2,2,22,87,True,False,False,False,High,15,4,2019
5216,Family Room #6: 2 bed / 1.5 bath,Abe,Khlong Toei,13.72154,100.57928,Private room,1019,2,55,8,332,False,False,True,False,Low,7,12,2022
5217,Baan Manusarn,Baanmanusarn,Dusit,13.77194,100.50197,Private room,1600,1,0,2,365,False,False,True,False,Medium,11,12,2022
5218,1 Private room in downtown near Bangkok Hospital,Chompu,Huai Khwang,13.74455,100.58334,Private room,1200,2,38,1,317,False,False,True,False,Medium,19,12,2022
5219,Kim Olive Apartment,Kim,Phra Khanong,13.69082,100.6069,Private room,1316,1,0,1,179,False,False,True,False,Medium,11,12,2022
5220,Pool View Cozy Living Rich Park @ Bangson MRT,Jeenie,Bang Sue,13.82332,100.53261,Entire home/apt,1200,14,43,22,364,True,False,False,False,Medium,6,9,2020
5221,Modern & Cozy Condo for ALL - WIFI available(中文可用),Philip,Bang Sue,13.82869,100.52903,Entire home/apt,1004,2,1,1,0,True,False,False,False,Low,11,12,2018
